Dish Name,Category,Sub Category,Alternative names
"CHOCOLATE, VANILLA OR STRAWBERRY MILKSHAKE",BEVERAGES,CREAMY MILKSHAKES,"CHOCOLATE MILKSHAKE, VANILLA MILKSHAKE, STRAWBERRY MILKSHAKE,CHOCOLATE SHAKE, VANILLA SHAKE, STRAWBERRY SHAKE"
OREO MILKSHAKE,BEVERAGES,CREAMY MILKSHAKES,
STRAWBERRY FRUIT SMOOTHIE,BEVERAGES,ICED & FROZEN DRINKS,STRAWBERRY SMOOTHIE
TROPICAL SMOOTHIE,BEVERAGES,ICED & FROZEN DRINKS,
PEACH SMOOTHIE,BEVERAGES,ICED & FROZEN DRINKS,
FROZEN ICED MANGO,BEVERAGES,ICED & FROZEN DRINKS,
CAFÉ LATTE,BEVERAGES,HOT DRINKS & ESPRESSO,
CAFÉ MOCHA,BEVERAGES,HOT DRINKS & ESPRESSO,
CAPPUCCINO,BEVERAGES,HOT DRINKS & ESPRESSO,
DOUBLE ESPRESSO,BEVERAGES,HOT DRINKS & ESPRESSO,
CARAMEL ROYAL MACCHIATO,BEVERAGES,HOT DRINKS & ESPRESSO,
FACTORY HOT CHOCOLATE,BEVERAGES,HOT DRINKS & ESPRESSO,Hot chocolate
FRESHLY BREWED COFFEE,BEVERAGES,OTHER DRINKS,"brewed coffee, hot coffee"
COLD BREW ICED COFFEE,BEVERAGES,OTHER DRINKS,"cold coffee, iced coffee"
CERTIFIED ORGANIC BLACK AND HERB TEAS,BEVERAGES,OTHER DRINKS,"black tea, herb tea"
"FRESHLY BREWED BLACK, GREEN OR TROPICAL ICED TEAS",BEVERAGES,OTHER DRINKS,"black iced tea, iced black tea, green tea, iced green tea, tropical iced tea"
THE CHEESECAKE FACTORY SPECIAL LEMONADE,BEVERAGES,OTHER DRINKS,"special lemonade, lemonade"
FLAVORED LEMONADES,BEVERAGES,OTHER DRINKS,"Strawberry lemonade, Raspberry lemonade, Cucumber lemonade"
SOFT DRINKS,BEVERAGES,OTHER DRINKS,
FIJI NATURAL ARTESIAN WATER,BEVERAGES,OTHER DRINKS,
SAN PELLEGRINO WATER,BEVERAGES,OTHER DRINKS,
FRESH ORANGE JUICE,BEVERAGES,OTHER DRINKS,
APPLE JUICE,BEVERAGES,OTHER DRINKS,
TROPICAL TIKI PUNCH,BEVERAGES,COCKTAILS -SPECIALTY DRINKS,
PINEAPPLE MOSCOW MULE,BEVERAGES,COCKTAILS -SPECIALTY DRINKS,
GEORGIA PEACH,BEVERAGES,COCKTAILS -SPECIALTY DRINKS,
RED RASPBERRY,BEVERAGES,COCKTAILS -SPECIALTY DRINKS,
J.W.'S PINK LEMONADE,BEVERAGES,COCKTAILS -SPECIALTY DRINKS,
FROZEN APEROL SPRITZ,BEVERAGES,COCKTAILS -SPECIALTY DRINKS,
RED SANGRIA,BEVERAGES,COCKTAILS -SPECIALTY DRINKS,
FACTORY PEACH BELLINI,BEVERAGES,COCKTAILS -SPECIALTY DRINKS,
MAI TAI,BEVERAGES,COCKTAILS -SPECIALTY DRINKS,
WHISKY & GINGER,BEVERAGES,COCKTAILS -SPECIALTY DRINKS,
WHISKEY SMASH,BEVERAGES,COCKTAILS -SPECIALTY DRINKS,
GUAVA DAIQUIRI,BEVERAGES,COCKTAILS - MARTINIS & DAIQUIRIS,
LEMON DROP,BEVERAGES,COCKTAILS - MARTINIS & DAIQUIRIS,
PINEAPPLE GINGER DAIQUIRI,BEVERAGES,COCKTAILS - MARTINIS & DAIQUIRIS,
THE WELL - MANNERED DIRTY MARTINI,BEVERAGES,COCKTAILS - MARTINIS & DAIQUIRIS,
CUCUMBER MARTINI,BEVERAGES,COCKTAILS - MARTINIS & DAIQUIRIS,
STRAWBERRY BLOSSOM,BEVERAGES,COCKTAILS - MARTINIS & DAIQUIRIS,
BOURBON & HONEY,BEVERAGES,COCKTAILS - MARTINIS & DAIQUIRIS,
MARGARITA,BEVERAGES,COCKTAILS - MARGARITAS & MOJITOS,
EL DIABLO,BEVERAGES,COCKTAILS - MARGARITAS & MOJITOS,
BLOOD ORANGE MARGARITA,BEVERAGES,COCKTAILS - MARGARITAS & MOJITOS,
PASSION FRUIT MARGARITA,BEVERAGES,COCKTAILS - MARGARITAS & MOJITOS,
MOJITO,BEVERAGES,COCKTAILS - MARGARITAS & MOJITOS,
PINEAPPLE MOJITO,BEVERAGES,COCKTAILS - MARGARITAS & MOJITOS,
PASSION FRUIT MOJITO,BEVERAGES,COCKTAILS - MARGARITAS & MOJITOS,
THE ULTIMATE MARGARITA,BEVERAGES,COCKTAILS - MARGARITAS & MOJITOS,
PASSION MINT FIZZ,BEVERAGES,COCKTAILS - NON ALCOHOLIC SPECIALITIES,
ORANGE COCONUT CREAM SODA,BEVERAGES,COCKTAILS - NON ALCOHOLIC SPECIALITIES,
PINEAPPLE CHERRY LIMEADE,BEVERAGES,COCKTAILS - NON ALCOHOLIC SPECIALITIES,
CITRUS SPARKLER,BEVERAGES,COCKTAILS - NON ALCOHOLIC SPECIALITIES,
TROPICAL GINGER COOLER,BEVERAGES,COCKTAILS - NON ALCOHOLIC SPECIALITIES,
BEER,BEVERAGES,BEER AND WINE,
WINE,BEVERAGES,BEER AND WINE,
